+---------+-------------------+
|itemid   |rating             |
+---------+-------------------+
|tt2251217|1.0                |
|tt2096673|1.0                |
|tt0376541|0.8048214216704956 |
|tt0378194|0.7326417368119045 |
|tt1453405|0.6122210418362615 |
|tt0944835|0.5875808330251057 |
|tt0211915|0.5202263108739322 |
|tt1369829|0.42014877620951235|
|tt1499658|0.34075513606838975|
|tt1478338|0.3399026136813146 |
|tt2557490|0.3211300546969582 |
|tt0816199|0.32009831024420327|
|tt0169547|0.3072634840109696 |
|tt0088763|0.3009746051817016 |
|tt0266543|0.28385026020570214|
|tt0362165|0.2745365100278091 |
|tt0114148|0.2502578165007658 |
|tt0111161|0.25024499697236685|
|tt0133093|0.14754336161912907|
|tt0268380|0.12575622429297534|
|tt1375666|0.10807477615483818|
|tt1190080|0.09838777558780143|
|tt0293662|0.08020878578761437|
|tt0356910|0.0565953106004114 |
|tt0405422|0.02124500650953204|
|tt1657301|0.01123448429114704|
+---------+-------------------+
+---------+-------------------+
|itemid   |rating             |
+---------+-------------------+
|tt2096673|1.0                |
|tt2251217|1.0                |
|tt0376541|0.8048214216704956 |
|tt0378194|0.7326417368119045 |
|tt1453405|0.6122210418362615 |
|tt0944835|0.5875808330251057 |
|tt0211915|0.5202263108739322 |
|tt1369829|0.42014877620951235|
|tt1499658|0.34075513606838975|
|tt1478338|0.3399026136813146 |
|tt2557490|0.3211300546969582 |
|tt0816199|0.32009831024420327|
|tt0169547|0.3072634840109696 |
|tt0088763|0.3009746051817016 |
|tt0266543|0.28385026020570214|
|tt0362165|0.2745365100278091 |
|tt0114148|0.2502578165007658 |
|tt0111161|0.25024499697236685|
|tt0133093|0.14754336161912907|
|tt0268380|0.12575622429297534|
|tt1375666|0.10807477615483818|
|tt1190080|0.09838777558780143|
|tt0293662|0.08020878578761437|
|tt0356910|0.0565953106004114 |
|tt0405422|0.02124500650953204|
|tt1657301|0.01123448429114704|
+---------+-------------------+
+---------+-------------------+
|itemid   |rating             |
+---------+-------------------+
|tt2251217|1.0                |
|tt2096673|1.0                |
|tt0376541|0.8048214216704956 |
|tt0378194|0.7326417368119045 |
|tt1453405|0.6122210418362615 |
|tt0944835|0.5875808330251057 |
|tt0211915|0.5202263108739322 |
|tt1369829|0.42014877620951235|
|tt1499658|0.34075513606838975|
|tt1478338|0.3399026136813146 |
|tt2557490|0.3211300546969582 |
|tt0816199|0.32009831024420327|
|tt0169547|0.3072634840109696 |
|tt0088763|0.3009746051817016 |
|tt0266543|0.28385026020570214|
|tt0362165|0.2745365100278091 |
|tt0114148|0.2502578165007658 |
|tt0111161|0.25024499697236685|
|tt0133093|0.14754336161912907|
|tt0268380|0.12575622429297534|
|tt1375666|0.10807477615483818|
|tt1190080|0.09838777558780143|
|tt0293662|0.08020878578761437|
|tt0356910|0.0565953106004114 |
|tt0405422|0.02124500650953204|
|tt1657301|0.01123448429114704|
+---------+-------------------+
+---------+-------------------+
|itemid   |rating             |
+---------+-------------------+
|tt2096673|1.0                |
|tt2251217|1.0                |
|tt0376541|0.8048214216704956 |
|tt0378194|0.7326417368119045 |
|tt1453405|0.6122210418362615 |
|tt0944835|0.5875808330251057 |
|tt0211915|0.5202263108739322 |
|tt1369829|0.42014877620951235|
|tt1499658|0.34075513606838975|
|tt1478338|0.3399026136813146 |
|tt2557490|0.3211300546969582 |
|tt0816199|0.32009831024420327|
|tt0169547|0.3072634840109696 |
|tt0088763|0.3009746051817016 |
|tt0266543|0.28385026020570214|
|tt0362165|0.2745365100278091 |
|tt0114148|0.2502578165007658 |
|tt0111161|0.25024499697236685|
|tt0133093|0.14754336161912907|
|tt0268380|0.12575622429297534|
|tt1375666|0.10807477615483818|
|tt1190080|0.09838777558780143|
|tt0293662|0.08020878578761437|
|tt0356910|0.0565953106004114 |
|tt0405422|0.02124500650953204|
|tt1657301|0.01123448429114704|
+---------+-------------------+
+---------+-------------------+
|itemid   |rating             |
+---------+-------------------+
|tt2096673|1.0                |
|tt2251217|1.0                |
|tt0376541|0.8048214216704956 |
|tt0378194|0.7326417368119045 |
|tt1453405|0.6122210418362615 |
|tt0944835|0.5875808330251057 |
|tt0211915|0.5202263108739322 |
|tt1369829|0.42014877620951235|
|tt1499658|0.34075513606838975|
|tt1478338|0.3399026136813146 |
|tt2557490|0.3211300546969582 |
|tt0816199|0.32009831024420327|
|tt0169547|0.3072634840109696 |
|tt0088763|0.3009746051817016 |
|tt0266543|0.28385026020570214|
|tt0362165|0.2745365100278091 |
|tt0114148|0.2502578165007658 |
|tt0111161|0.25024499697236685|
|tt0133093|0.14754336161912907|
|tt0268380|0.12575622429297534|
|tt1375666|0.10807477615483818|
|tt1190080|0.09838777558780143|
|tt0293662|0.08020878578761437|
|tt0356910|0.0565953106004114 |
|tt0405422|0.02124500650953204|
|tt1657301|0.01123448429114704|
+---------+-------------------+
